,homicidiesper100k,electricity,Schooling,HIV.AIDS,wateraccess,tuberculosis,inflation,healthexppercapita,fertilityrate,lifeexp,internet,gdppercapita,CO2,forest,urbanpop,urbanpopgrowth,leastdeveloped
Panama,0.45299049248856793,-0.3657042976066418,-0.4146000437096373,-0.265315573771463,0.09464623950458115,-0.3483701482283682,-0.2562267965119112,0.1663932693379837,0.6507720190119534,0.6501409347420813,-0.24477028641432352,0.12790935442714646,-0.46250901780447085,1.8698522342134531,0.19158481435926797,0.24602368971473493,-0.26037782196164777
Paraguay,0.025442095064844246,-0.5291071235210305,-0.7717067219829766,-0.13370233638876872,0.3575313857036867,-0.4009880449058127,0.4011063488811345,-0.6739904687587024,0.6190168866479754,-0.34665715182627366,-0.3355756312229721,-0.4849795414365982,-0.7354394969453601,0.5895168081717973,-0.12821616768817942,0.07407535766103257,-0.26037782196164777
Peru,-0.13267220436475713,-0.612891828492924,-0.2105390846963002,-0.265315573771463,-0.8732490715012226,0.13834539603799362,-0.08790280555739477,-0.6677260088125765,0.5002803047652759,-0.00604379671828712,-0.4680000924022511,-0.45310232655236143,-0.5837372829275327,1.6240130350968591,0.7773894960748063,-0.10476407255594493,-0.26037782196164777
Philippines,0.09448886089489474,-0.8119850016726017,-1.0777981605029827,-0.265315573771463,-0.2518841804851514,2.9336711570272334,0.00882648722623186,-0.9699221594200625,1.240312954638846,-1.216759803503993,-0.02343225844324274,-0.7898923425668352,-0.714451600997499,-0.14872026410282232,-0.9081140687945622,-0.030625933255880235,-0.26037782196164777
Poland,-0.5779713790973726,0.2591064765986477,1.319918107903726,-0.265315573771463,0.5606699077666333,-0.5259555495147434,-0.9626875228077407,0.4243321719709462,-1.068147102429455,0.6485363423646967,0.7805733987166658,0.2716917246310094,0.5028695593205618,0.10719790742362491,-0.13206657801976635,-1.1327387722225148,-0.26037782196164777
Portugal,-0.5673595431321793,0.48519958493358584,1.523979066917064,-0.265315573771463,0.7638084298295799,-0.49964660117602117,-1.0536914333952776,2.073024361194663,-1.1924063160276293,1.3954477808603267,0.6855115533701123,0.9853382957540266,-0.014862968989145044,0.3368826360025956,0.005300877894458655,-0.48327686941698145,-0.26037782196164777
Romania,-0.5215742157325969,-0.19497341297744822,0.4526590320970444,-0.265315573771463,0.7638084298295799,-0.09185790192582616,-0.6845867153294873,-0.15502514193937947,-0.7367891995009908,0.07709474509169284,0.1884468794436037,-0.1268517326406582,-0.14821390721940308,0.03879150628620726,-0.48473162571428063,-1.3287435394673586,-0.26037782196164777
Singapore,-0.6137578901767883,1.8539598342300014,0.8097657103703846,-0.265315573771463,0.7638084298295799,-0.35494738531304876,-0.6964640012550014,1.830186393845621,-1.1647931574502572,1.6868622914406266,1.3684072778704781,4.2044974956485754,0.5659315938442842,-0.32167641646858147,2.0153235332457546,0.5183673871697263,-0.26037782196164777
Slovenia,-0.5716648270335146,1.1611863610152948,1.9321009849437383,-0.265315573771463,0.7040618056934191,-0.6055401182393783,-0.9227955712512859,1.89379322811272,-0.7091760409236187,1.3861307980654196,1.01657270631831,1.1814525184755722,0.41248201812225216,1.8491552608508937,-0.503332903795046,-0.5830051428190419,-0.26037782196164777
South Africa,1.8037007290982066,0.33327113392789237,-0.4146000437096373,4.47276097200553,-0.09654295773113399,4.735834118229708,0.7046199936238532,-0.14505253871958249,0.5748358329241801,-2.8763214464600355,-0.05180892869594547,-0.45891952487433657,0.6865458287559062,-1.183571129871077,0.07992291474324396,0.16538613988094525,-0.26037782196164777
Spain,-0.5811157422559295,0.7121387957055455,1.9321009849437383,-0.265315573771463,0.7638084298295799,-0.578573446192188,-1.0187994480621654,2.463696691048138,-1.068147102429455,1.8426629444048923,1.2341271782556968,1.6817516408286546,0.23248237595209273,0.44246323490003064,0.896318367302558,-0.389071474474719,-0.26037782196164777
Sri Lanka,-0.4328022618378106,-0.8670073976706782,0.09555235382370506,-0.265315573771463,0.23803813743136537,-0.229979880704118,-0.10598456741141933,-0.8184453017803471,-0.014705102702712122,0.07629762495267876,-1.1490401784671151,-0.6997846816236709,-0.7485763554369126,0.23943672295282106,-2.419806857428206,-0.6411186332582486,-0.26037782196164777
Thailand,-0.3439486585456899,-0.2096362532958144,-0.10850860518963207,-0.265315573771463,0.5009232836304726,0.4408983019332996,-0.45792804328652453,-0.6733311229597557,-0.8030607800866837,0.07396320320427302,-0.7191336241386698,-0.5027802234491252,-0.17091195928846017,0.17948538003897416,-0.8620176070783797,0.7407424869609277,-0.26037782196164777
Trinidad and Tobago,1.5987791968096847,1.2940781629159441,-0.5676457629696404,-0.0020890990060745043,0.1782915132952047,-0.5193783124300628,0.5808227555809624,0.6751553025872928,-0.43580577100763573,-0.874448687124441,0.7096317230849091,0.8011189198695376,4.884891685604269,0.924663128984121,-0.511142186721082,-0.91050892401925,-0.26037782196164777
Ukraine,-0.15983246714350466,0.07804415560664738,0.7077352308637156,-0.13370233638876872,0.3216834112219906,-0.039240005248381636,2.331805239365566,-0.5731621347287177,-0.8223899910908441,-0.7130371390112018,-0.18253195026587582,-0.7657372618700733,0.21663575691863926,-0.6804267881253494,0.3324230626850648,-1.1518960391127238,-0.26037782196164777
United Arab Emirates,-0.5827439861292889,2.6456263222558847,-0.2615543244496342,-0.265315573771463,0.7160111305206507,-0.6525015910239974,-0.33426106233186176,1.6188847412448826,-0.42890248136329284,0.50965118951997,1.9061813187405388,3.049533573296837,2.8174174580733244,-1.3560447785804868,1.2221932360702554,3.684151229462992,-0.26037782196164777
Uruguay,-0.047975679573875545,-0.036715237345591144,0.8607809501237186,-0.265315573771463,0.7160111305206507,-0.46676041575261834,1.4560991115324002,0.6077231800056936,-0.10306721015030268,0.561008467984851,0.5374799235518466,0.49252379365173826,-0.5039465661340033,-1.0276340011601333,1.7411851638630433,-0.7323774230624077,-0.26037782196164777
Zambia,-0.23874599461175747,-0.8093715330150848,-0.6696762424763085,5.262440396301695,-3.4662525590105955,2.0128579651719547,1.16265002790612,-1.0980286904332792,4.1562625004093325,-2.9225854411102175,-1.4706424413310788,-0.8918629614250031,-0.8312972996756919,2.055159815375471,-1.1635969289650772,1.3095377526416077,3.840572873934305
